id,mssubclass,lotshape,landcontour,landslope,bldgtype,housestyle,overallqual,overallcond,lotfrontage,lotarea,garagearea,grlivarea,totalbsmtsf,saleprice,lotfrontage_std,lotarea_std,garagearea_std,grlivarea_std,totalbsmtsf_std,saleprice_std
16,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,7,8,51,6120,576,854,832,132000,48.11547562772989,-0.4405081031291441,0.4818406464203564,-1.2587790515053698,-0.5138516436574965,-0.6158063267786273
269,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,71,6900,924,778,740,120500,68.1154756277299,-0.36236169530565415,2.1094932179636463,-1.4034086178935643,-0.7235596067722666,-0.7605651093279786
343,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,3,4,NA,8544,400,1040,0,87500,NA,-0.19765311266229826,-0.34133996447510057,-0.9048172179763674,-2.410341049217157,-1.1759598766435082
548,SPLIT FOYER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,5,7,54,7244,624,768,768,129500,51.11547562772989,-0.3278971257014483,0.7063444493918447,-1.422438823997274,-0.6597354440851626,-0.6472756273328342
829,2-STORY 1946 & NEWER,Moderately Irregular,Depression,Severe Slope,Single-family Detached,Two story,5,5,NA,28698,538,2126,1013,185000,NA,1.8215298402538787,0.3041084690679282,1.1618631648865176,-0.10127402057300298,0.05134284497055667
869,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,5,6,NA,14762,672,2320,0,169000,NA,0.4253140204741901,0.930848252363333,1.5310491632984877,-2.410341049217157,-0.1500606785763668
1392,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,5,5,65,8944,792,1584,1584,124000,62.11547562772989,-0.15757803172717516,1.4921077597920536,0.13042599406544605,1.2002830113675813,-0.716508088552089
1407,SPLIT FOYER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,5,7,70,8445,396,768,768,133000,67.1154756277299,-0.20757169519374122,-0.3600486147227246,-1.422438823997274,-0.6597354440851626,-0.6032186065569446
20,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,70,7560,294,1339,1029,139000,67.1154756277299,-0.29623781176270103,-0.8371191960371371,-0.3358140554754442,-0.06480307046608644,-0.5276922852268483
21,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,101,14215,853,2376,1158,325300,98.1154756277299,0.3705113472954093,1.77741467606832,1.6376183174792627,0.2292439647709282,1.8173999920726418
22,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,7,7,57,7449,280,1108,637,139400,54.11547562772989,-0.3073586467221977,-0.9025994719038213,-0.7754118164711408,-0.9583413480855418,-0.5226571971381753
23,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,75,9742,534,1795,1777,230000,72.1154756277299,-0.07762824526160461,0.2853998188203042,0.5319633428537229,1.640213847032262,0.6177902549462789
24,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,5,7,44,4224,572,1060,1040,129900,41.11547562772989,-0.6304639867616276,0.46313199617273243,-0.8667568057689478,-0.03972929226758131,-0.642240539244161
26,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,110,14230,890,1600,1566,256300,107.1154756277299,0.3720141628304764,1.9504696908588421,0.16087432383138173,1.1592531924973002,0.9488472967765343
27,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,7,60,7200,576,900,900,134800,57.11547562772989,-0.3323053846043118,0.4818406464203564,-1.1712401034283046,-0.3588501057031011,-0.5805607101579158
28,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,98,11478,772,1704,1704,306000,95.1154756277299,0.09629760599682957,1.3985645085539335,0.3587884673099637,1.4738151371694554,1.5744569917941655
29,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,47,16321,319,1600,1484,207500,44.11547562772989,0.5815066484188324,-0.720190131989487,0.16087432383138173,0.9723395731993528,0.3345665499584178
30,1-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,6,60,6324,240,520,520,68500,57.11547562772989,-0.42006981185223136,-1.0896859743800615,-1.8943879353692774,-1.225035170742369,-1.41512656085548
31,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,4,4,50,8500,250,1317,649,40000,47.11547562772989,-0.2020613715651618,-1.0429143487610015,-0.37768050890360577,-0.9309881355053544,-1.7738765871734372
33,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,85,11049,484,1234,1234,179900,82.1154756277299,0.053317081693910064,0.0515416907250039,-0.5356312195643972,0.40248097777878183,-0.012854528160025188
34,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,70,10552,447,1700,1398,165500,67.1154756277299,0.0035237936320196327,-0.12151332406551832,0.3511763848684798,0.7763082163746764,-0.1941176993522563
35,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,9,5,60,7313,556,1561,1561,277500,57.11547562772989,-0.32098417424013953,0.3882973951822363,0.0866565200269135,1.1478560205888888,1.215706965476208
36,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,108,13418,691,2452,1117,309000,105.1154756277299,0.2906617485321765,1.019714341039547,1.7822478838674574,0.13578715512195458,1.6122201524592137
25,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,8,NA,8246,270,1060,1060,154000,NA,-0.22750904795896496,-0.9493710975228813,-0.8667568057689478,0.00585939536606437,-0.3388764819016076
32,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,NA,8544,271,1228,1228,149350,NA,-0.19765311266229826,-0.9446939349609753,-0.547049343226623,0.3888043714886881,-0.3974093809324322
18,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,4,5,72,10791,516,1296,0,90000,69.1154756277299,0.027468654490755678,0.20121089270599607,-0.41764394172139635,-2.410341049217157,-1.1444905760893014
17,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,7,NA,11241,480,1004,1004,149000,NA,0.07255312054276915,0.03283304047737988,-0.9733259599497227,-0.12178893000814354,-0.40181508301002117
19,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,66,13695,576,1114,1114,159000,63.11547562772989,0.31841374207974926,0.4818406464203564,-0.7639936928089148,0.12894885197690772,-0.275937880793194
37,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,112,10859,672,1097,1097,145000,109.1154756277299,0.0342814182497266,0.930848252363333,-0.7963450431852215,0.09019846748830888,-0.452165963896752
38,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,74,8532,498,1297,1297,153000,71.1154756277299,-0.19885536509035195,0.11702196659168798,-0.4157409211110254,0.5460853438247657,-0.35146420212329027
39,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,7,68,7922,246,1057,1057,109000,65.1154756277299,-0.25996986351641466,-1.0616229990086254,-0.8724658676000607,-0.0009789077789824831,-0.9053238918773299
40,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,4,5,65,6040,0,1152,0,82000,62.11547562772989,-0.4485231193161688,-2.212204989237503,-0.6916789096148176,-2.410341049217157,-1.2451923378627632
41,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,84,8658,440,1324,1088,160000,81.1154756277299,-0.18623171459578816,-0.15425346199886036,-0.36435936463100893,0.06968355805316832,-0.2633501605715113
42,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,115,16905,308,1328,1350,170000,112.1154756277299,0.640016266584112,-0.7716389201704531,-0.356747282189525,0.6668953660539267,-0.1374729583546841
45,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,70,7945,300,1150,1150,141000,67.1154756277299,-0.25766554636264505,-0.8090562206657012,-0.6954849508355595,0.21100848971746994,-0.5025168447834829
46,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,9,5,61,7658,576,1752,1752,319900,58.11547562772989,-0.2864194169335959,0.4818406464203564,0.4501334566077708,1.583227987490205,1.7494263028755552
47,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,7,5,48,12822,670,2149,1434,239686,45.11547562772989,0.23094987793884314,0.921493927239521,1.20563263892505,0.8583678541152386,0.7397149130134978
48,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,84,11096,826,1656,1656,249700,81.1154756277299,0.058025903703787025,1.651131286896858,0.2674434780121567,1.3644022868487058,0.8657683433134284
49,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two story,4,5,33,4456,0,1452,736,113000,30.11547562772989,-0.6072204398192562,-2.212204989237503,-0.1207727265035234,-0.7326773442989957,-0.854973010990599
50,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,7,66,7742,386,955,955,127000,63.11547562772989,-0.27800364993722004,-0.40682024034178466,-1.0665739698579009,-0.23348121471057548,-0.6787449278870409
52,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,6,6,52,6240,528,1176,816,114500,49.11547562772989,-0.4284855788486072,0.25733684344886815,-0.646006414965914,-0.550322593764413,-0.8360914306580749
53,DUPLEX - ALL STYLES AND AGES,Moderately Irregular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Duplex,One story,5,5,110,8472,516,816,816,110000,107.1154756277299,-0.2048666272306204,0.20121089270599607,-1.3310938346994672,-0.550322593764413,-0.8927361716556471
54,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Gentle slope,Single-family Detached,One story,9,5,68,50271,894,1842,1842,385000,65.1154756277299,3.982879142787404,1.9691783411064663,0.6214053115411591,1.7883770818416105,2.5688868893071
55,SPLIT OR MULTI-LEVEL,Regular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Single-family Detached,Split Level,5,5,60,7134,572,1360,384,130000,57.11547562772989,-0.33891777295860714,0.46313199617273243,-0.2958506226576536,-1.5350382466511596,-0.6409817672219927
56,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,100,10175,576,1425,1425,180500,97.1154756277299,-0.03424697014933387,0.4818406464203564,-0.17215428298353988,0.8378529446800981,-0.005301896027015558
57,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,8,5,24,2645,480,1739,970,172500,21.11547562772989,-0.7886603687530259,0.03283304047737988,0.42539418867294804,-0.1992896989853412,-0.1060036578004773
58,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,89,11645,565,1720,860,196500,86.1154756277299,0.11302895228724347,0.43039185823939036,0.3892367970758994,-0.45002748097039247,0.19610162751990792
59,2-STORY 1946 & NEWER,Moderately Irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,10,5,66,13682,641,2945,1410,438780,63.11547562772989,0.31711130194935777,0.7858562129442468,2.7204370447803505,0.8036614289548638,3.2458544828291966
60,1-STORY 1946 & NEWER ALL STYLES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,5,7,60,7200,352,780,780,124900,57.11547562772989,-0.3323053846043118,-0.5658437674465888,-1.3996025766728224,-0.6323822315049752,-0.7051791403525747
61,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,63,13072,576,1158,1158,158000,60.11547562772989,0.25599680352329507,0.4818406464203564,-0.6802607859525917,0.2292439647709282,-0.2885256010148767
62,2-1/2 STORY ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two and one-half story: 2nd level unfinished,5,7,60,7200,288,1111,530,101000,57.11547562772989,-0.3323053846043118,-0.8651821714085732,-0.7697027546400278,-1.2022408269255462,-1.0060256536507917
63,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,8,5,44,6442,484,1370,1370,202500,41.11547562772989,-0.40824766297637005,0.0515416907250039,-0.2768204165539438,0.7124840536875725,0.27162794885000424
64,2-STORY 1945 & OLDER,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two story,7,6,50,10300,480,1710,576,140000,47.11547562772989,-0.021723507357107912,0.03283304047737988,0.3702065909721896,-1.0973868453681612,-0.5151045650051655
66,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,76,9591,852,2473,1143,317000,73.1154756277299,-0.09275658831461359,1.772737513506414,1.8222113166852478,0.19505244904569397,1.7129219142326753
68,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,72,10665,558,1479,1453,226000,69.1154756277299,0.014845003996191904,0.39765172030604834,-0.06939117002350692,0.9016771073672021,0.567439374059548
69,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,6,47,4608,220,747,747,80000,44.11547562772989,-0.5919919090639094,-1.1832292256181816,-1.4624022568150647,-0.7076035661004906,-1.2703677783061287
70,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,7,4,81,15593,667,2287,1304,225000,78.1154756277299,0.5085700011169083,0.9074624395538029,1.4682494831562454,0.5620413844965417,0.5548516538378654
71,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,6,95,13651,516,2223,2223,244000,92.1154756277299,0.31400548317688576,0.20121089270599607,1.3464561640925028,2.6568415812625608,0.794018338049837
72,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,6,69,7599,360,845,845,129500,66.1154756277299,-0.29233049137152656,-0.5284264669513408,-1.2759062369987086,-0.48421899669562674,-0.6472756273328342
73,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,74,10141,427,1718,832,185000,71.1154756277299,-0.03765335202881934,-0.21505657530363842,0.38543075585515746,-0.5138516436574965,0.05134284497055667
74,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,7,85,10200,490,1086,1086,144900,82.1154756277299,-0.031742277590888685,0.07960466609643993,-0.8172782698993023,0.06512468928980376,-0.4534247359189203
75,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,3,6,60,5790,379,1605,840,107400,57.11547562772989,-0.4735700449006207,-0.43956037827512673,0.17038942688323663,-0.4956161686040381,-0.9254642442320222
76,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Split Level,4,5,21,1596,297,988,462,91000,18.11547562772989,-0.8937572685053863,-0.8230877083514192,-1.0037742897156585,-1.3572423648799417,-1.1319028558676187
78,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,5,50,8635,240,1285,672,127000,47.11547562772989,-0.18853603174955774,-1.0896859743800615,-0.43857716843547717,-0.8785611447266619,-0.6787449278870409
79,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,4,5,72,10778,0,1768,1768,136500,69.1154756277299,0.026166214360364176,-2.212204989237503,0.48058178637370647,1.6196989375971216,-0.5591615857810551
80,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,5,6,60,10440,440,1230,440,110000,57.11547562772989,-0.007697229029814831,-0.15425346199886036,-0.5432433020058811,-1.4073899212769518,-0.8927361716556471
81,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,6,100,13000,509,2142,896,193500,97.1154756277299,0.24878328895497293,0.16847075477265405,1.1923114946524533,-0.3679678432298302,0.15833846685485978
82,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,6,5,32,4500,405,1337,1237,153500,29.11547562772989,-0.6028121809163927,-0.31795415166557056,-0.33962009669618615,0.4093192809238287,-0.3451703420124489
83,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,78,10206,758,1563,1563,245000,75.1154756277299,-0.031141151376861836,1.3330842326872494,0.09046256124765546,1.1524148893522532,0.8066060582715197
84,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,80,8892,461,1065,1065,126500,77.1154756277299,-0.16278779224874118,-0.05603304819883423,-0.8572417027170929,0.01725656727447579,-0.6850387879978823
86,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,121,16059,462,2417,1288,260000,118.1154756277299,0.5552574704063267,-0.05135588563692823,1.7156421625044729,0.5255704343896251,0.9954218615967605
87,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,122,11911,400,1560,684,174000,119.1154756277299,0.13967888110910032,-0.34133996447510057,0.08475349941654252,-0.8512079321464745,-0.08712207746795322
88,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,6,5,40,3951,528,1224,612,164500,37.11547562772989,-0.657815229499849,0.25733684344886815,-0.5546614256681069,-1.015327207627599,-0.20670541957393904
89,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,3,2,105,8470,0,1526,1013,85000,102.1154756277299,-0.20506700263529604,-2.212204989237503,0.020050798663929174,-0.10127402057300298,-1.207429177197715
90,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,5,60,8070,0,990,990,123600,57.11547562772989,-0.2451420835704191,-2.212204989237503,-0.9999682484949165,-0.15370101135169553,-0.7215431766407622
91,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,5,60,7200,420,1040,0,109900,57.11547562772989,-0.3323053846043118,-0.24779671323698046,-0.9048172179763674,-2.410341049217157,-0.8939949436778154
92,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,3,85,8500,480,1235,1235,98600,82.1154756277299,-0.2020613715651618,0.03283304047737988,-0.5337281989540262,0.4047604121604641,-1.03623618218283
93,1-STORY 1945 & OLDER,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,One story,5,7,80,13360,432,964,876,163500,77.1154756277299,0.2848508617965837,-0.1916707624941084,-1.0494467843645618,-0.41355653086347594,-0.21929313979562176
94,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two and one-half story: 2nd level unfinished,6,6,60,7200,506,2291,1214,133900,57.11547562772989,-0.3323053846043118,0.15443926708693603,1.4758615655977294,0.3568922901451361,-0.5918896583574301
95,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,69,9337,684,1786,824,204750,66.1154756277299,-0.11820426470841673,0.9869742031062051,0.5148361573603841,-0.5320871187109547,0.29995031934879035
97,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,78,10264,472,1588,1588,214000,75.1154756277299,-0.025330264641268987,-0.004584260017868169,0.13803807650692998,1.2094007488943104,0.41638673139935545
129,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,69,7590,453,1348,660,155000,66.1154756277299,-0.2932321806925668,-0.09345034869408228,-0.3186868699821054,-0.9059143573068493,-0.3262887616799248
98,1-STORY 1946 & NEWER ALL STYLES,Regular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,One story,4,5,73,10921,432,960,960,94750,70.1154756277299,0.040493055794670677,-0.1916707624941084,-1.0570588668060459,-0.22208404280216404,-1.0846989050363085
99,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,85,10625,366,835,458,83000,82.1154756277299,0.010837495902679595,-0.5003634915799048,-1.2949364431024184,-1.3663601024066707,-1.2326046176410805
100,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,5,77,9320,0,1225,950,128950,74.1154756277299,-0.11990745564815947,-2.212204989237503,-0.552758405057736,-0.2448783866189869,-0.6541988734547596
102,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,77,9206,476,1732,741,178000,74.1154756277299,-0.13132885371466954,0.014124390229755854,0.4120730444003512,-0.7212801723905843,-0.03677119658122235
103,DUPLEX - ALL STYLES AND AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Duplex,One story,5,5,64,7018,410,1535,0,118964,61.11547562772989,-0.35053954642979285,-0.2945683388560405,0.037177984157267994,-2.410341049217157,-0.7798998475884832
104,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,94,10402,740,1226,1226,198900,91.1154756277299,-0.011504361718651525,1.2488953065729413,-0.550855384447365,0.38424550272532354,0.22631215605194643
